SenShelbyPress	Senator Richard Shelby
congpalazzo	Representative Steven Palazzo 
clairecmc	Senator Claire McCaskill
RoyBlunt	Senator Roy Blunt 
ToddAkin	Representative Todd W. Akin 
RepCarnahan	Representative Russ Carnahan 
auctnr1	Representative Billy Long 
jontester	Senator Jon TesterRepresentative Dennis Rehberg 
SenBenNelson	Senator Ben Nelson 
Mike_Johanns	Senator Mike Johanns 
JeffFortenberry	Representative Jeff Fortenberry 
leeterryne	Representative Lee Terry 
SenatorReid	Senator Harry Reid
DeanHeller	Senator Dean Heller
Repberkley	Representative Shelley Berkley 
RepJoeHeck	Representative Joe Heck 
JeanneShaheen	Senator Jeanne Shaheen
SenatorAyotte	Senator Kelly Ayotte 
RepFrankGuinta	Representative Frank C. Guinta 
RepCharlesBass	Representative Charles F. (Charlie) Bass 
franklautenberg	Senator Frank R. Lautenberg
senatormenendez	Senator Robert Menendez 
RepLoBiondo	Representative Frank A. LoBiondo 
Runyan2010	Representative Jon Runyan 
FrankPallone	Representative Frank Pallone, Jr. 
rushholt	Representative Rush Holt
BillPascrell	Representative Albio Sires Representative Bill Pascrell, Jr.
tomudall	Senator Tom Udall 
Heinrich4NM	Representative Martin Heinrich
repstevepearce	Representative Steve Pearce 
repbenraylujan	Representative Ben Ray Lujan 
ChuckSchumer	Senator Charles E. (Chuck) Schumer
sengillibrand	Senator Kirsten Gillibrand 
RepSteveIsrael	Representative Steve Israel
reppeteking	Representative Pete King 
repmccarthyny	Representative Carolyn McCarthy 
GregoryMeeks	Representative Gregory W. Meeks
cbrangel	Representative Charles B. Rangel 
repjoseserrano	Representative Jose E. Serrano 
NitaLowey	Representative Nita M. Lowey 
RepNanHayworth	Representative Nan A. S. Hayworth 
repchrisgibson	Representative Chris Gibson 
paultonko	Representative Paul D. Tonko 
mauricehinchey	Representative Maurice D. Hinchey 
BillOwensNY	Representative Bill Owens
reprichardhanna	Representative Richard L. Hanna
RepBuerkle	Representative Ann Marie Buerkle 
louiseslaughter	Representative Louise M. Slaughter 
RepTomReed	Representative Tom Reed 
repbrianhiggins	Representative Brian Higgins
SenatorBurr	Senator Richard Burr
SenatorHagan	Senator Kay Hagan
RepReneeEllmers	Representative Renee L. Ellmers
RepWalterJones	Representative Walter B. Jones, Jr.
virginiafoxx	Representative Virginia Foxx 
RepMikeMcIntyre	Representative Mike McIntyre 
SueMyrick	Representative Sue Myrick 
PatrickMcHenry	Representative Patrick McHenry
RepBradMiller	Representative Brad Miller 
RepRickBerg	Representative Rick Berg 
sensherrodbrown	Senator Sherrod Brown 
robportman	Senator Rob Portman
repstevechabot	Representative Steve Chabot
RepMikeTurner	Representative Michael R. Turner 
Jim_Jordan	Representative Jim Jordan 
boblatta	Representative Bob Latta 
RepBillJohnson	Representative Bill Johnson 
SteveAustria	Representative Steve Austria 
SpeakerBoehner	Representative John A. Boehner 
Dennis_Kucinich	Representative Dennis J. Kucinich 
mlfudge	Representative Marcia L. Fudge 
SteveLaTourette	Representative Steven C. LaTourette
RepSteveStivers	Representative Steve Stivers
repjimrenacci	Representative James B. Renacci
repbobgibbs	Representative Tim Ryan
repbobgibbs	Representative Bob Gibbs 
jiminhofe	Senator James M. Inhofe
TomCoburn	Senator Tom Coburn 
USRepSullivan	Representative John Sullivan 
replankford	Representative James Lankford 
ronwyden	Senator Ron Wyden
SenJeffMerkley	Senator Jeff Merkley 
repgregwalden	Representive Greg Walden
repblumenauer	Representative Earl Bluemenauer
repschrader	Representative Kurt Schrader
SenBobCasey	Senator Robert P. Casey, Jr.
SenToomey	Senator Pat Toomey 
RepBrady	Representative Robert A. Brady
chakafattah	Representative Chaka Fattah 
repjasonaltmire	Representative Jason Altmire 
CongressmanGT	Representative Glenn (GT) Thompson
JimGerlach	Representative Jim Gerlach 
repmeehan	Representative Patrick Meehan 
RepFitzpatrick	Representative Mike Fitzpatrick 
RepBillShuster	Representative Bill Shuster 
RepTomMarino	Representative Tom Marino 
reploubarletta	Representative Louis J. (Lou) Barletta 
RepMarkCritz	Representative Mark S. Critz &nbsp;
USRepMikeDoyle	Representative Mike Doyle 
dentpressshop	Representative Charlie Dent
pedropierluisi	Resident Commissioner Pedro Pierluisi
SenWhitehouse	Senator Sheldon Whitehouse 
jimlangevin	Representative Jim Langevin 
GrahamBlog	Senator Lindsey Graham
jimdemint	Senator Jim DeMint 
RepTimScott	Representative Tim Scott 
CongJoeWilson	Representative Joe Wilson 
tgowdysc	Representative Trey Gowdy
RepMickMulvaney	Representative Mick Mulvaney
Clyburn	Representative James E. Clyburn 
RepJeffDuncan	Representative Jeff Duncan
SenJohnsonSD	Senator Tim Johnson 
johnthune	Senator John Thune
RepKristiNoem	Representative Kristi Noem 
SenAlexander	Senator Lamar Alexander
senbobcorker	Senator Bob Corker 
drphilroe	Representative Phil Roe
repchuck	Representative Chuck Fleischmann 
DesJarlaisTN04	Representative Scott DesJarlais 
repjimcooper	Representative Jim Cooper 
dianeblacktn06	Representative Diane Black 
dianeblacktn06	Representative Marsha Blackburn
repcohen	Representative Steve Cohen
kaybaileyhutch	Senator Kay Bailey Hutchison 
johncornyn	Senator John Cornyn
replouiegohmert	Representative Louie Gohmert
JudgeTedPoe	Representative Ted Poe 
SamsPressShop	Representative Sam Johnson 
RepHensarling	Representative Jeb Hensarling 
RepJoeBarton	Representative Joe Barton 
CongCulberson	Representative John Culberson 
RepKevinBrady	Representative Kevin Brady 
mccaulpressshop	Representative Michael McCaul 
RepKayGranger	Representative Kay Granger
repronpaul	Representative Ron Paul
RepFlores	Representative Bill Flores
JacksonLeeTX18	Representative Sheila Jackson Lee
randyneugebauer	Representative Randy Neugebauer
LamarSmithTX21	Representative Lamar Smith 
PeteOlson	Representative Pete Olson 
RepCanseco	Representative Francisco R. (Quico) Canseco 
RepKenMarchant	Representative Kenny Marchant
michaelcburgess	Representative Michael C. Burgess 
farenthold	Representative Blake Farenthold 
RepGeneGreen	Representative Gene Green 
RepEBJ	Representative Eddie Bernice Johnson 
JudgeCarter	Representative John R. Carter 
petesessions	Representative Pete Sessions 
OrrinHatch	Senator Orrin G. Hatch
SenMikeLee	Senator Mike Lee 
repjimmatheson	Representative Jim Matheson 
jasoninthehouse	Representative Jason Chaffetz 
SenatorLeahy	Senator Patrick Leahy
senatorsanders	Senator Bernie Sanders 
markwarner	Senator Mark R. Warner 
robwittman	Representative Rob Wittman
RepScottRigell	Representative Scott Rigell
RepBobbyScott	Representative Bobby Scott 
Randy_Forbes	Representative Randy Forbes
reproberthurt	Representative Robert Hurt 
repgoodlatte	Representative Bob Goodlatte
EricCantor	Representative Eric Cantor
jim_moran	Representative Jim Moran
RepMGriffith	Representative Morgan Griffith 
GerryConnolly	<span>Representative Gerry Connolly</span>
DelegateDonna	Delegate Donna M. Christensen
RepInsleeNews	Representative Jay Inslee 
herrerabeutler	Representative Jaime Herrera Beutler 
cathymcmorris	Representative Cathy McMorris Rodgers
RepNormDicks	Representative Norm Dicks 
repjimmcdermott	Representative Jim McDermott 
davereichert	Representative Dave Reichert 
rep_adam_smith	Representative Adam Smith 
senrockefeller	Senator Jay Rockefeller 
Sen_JoeManchin	Senator Joe Manchin 
RepMcKinley	Representative David McKinley 
SenRonJohnson	Senator Ron Johnson 
reppaulryan	Representative Paul Ryan 
reptammybaldwin	Representative Tammy Baldwin 
RepGwenMoore	Representative Gwen Moore 
RepSeanDuffy	Representative Sean Duffy 
repronkind	Representative Ron Kind
repribble	Representative Reid Ribble
senjohnbarrasso	Senator John Barrasso 
cynthialummis	Representative Cynthia Lummis
